ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,Community Districts,Borough Boundaries,City Council Districts,Police Precincts,Zip Codes
262883736,02/02/2023,114,OBSTR BREATH/CIRCUL,344,ASSAULT 3 & RELATED OFFENSES,PL 121110A,M,Q,101,0,25-44,M,BLACK,1053494,161531,40.609773,-73.750609,POINT (-73.750609 40.609773),51,3,47,59,20529
262940621,02/02/2023,105,STRANGULATION 1ST,106,FELONY ASSAULT,PL 1211200,F,M,25,2,25-44,M,BLACK,1002332,231147,40.801105,-73.934685,POINT (-73.934685 40.801105),7,4,35,16,13093
262906291,02/02/2023,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1600500,F,K,75,0,45-64,M,BLACK,1017119,183909,40.671404,-73.881509,POINT (-73.881509 40.671404),45,2,25,47,17215
262938153,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,18,1,25-44,M,BLACK,990946,216319,40.76041957,-73.97582929,POINT (-73.97582929 40.76041957),11,4,51,10,12419
262906332,02/02/2023,494,"STOLEN PROPERTY 2,1,POSSESSION",111,POSSESSION OF STOLEN PROPERTY,PL 1655000,F,Q,112,0,<18,M,BLACK,1022102,205975,40.73194943,-73.86342307,POINT (-73.86342307 40.73194943),40,3,28,70,14785
262882323,02/02/2023,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,B,44,0,25-44,M,BLACK,1005742,244087,40.836611548416,-73.92233096683086,POINT (-73.92233096683086 40.836611548416),50,5,42,27,10930
262906297,02/02/2023,759,"PUBLIC ADMINISTATION,UNCLASS M",359,OFFENSES AGAINST PUBLIC ADMINI,PL 1950500,M,K,71,1,45-64,M,BLACK,995520,182690,40.668112,-73.959374,POINT (-73.959374 40.668112),17,2,48,44,13509
262883732,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,81,0,25-44,M,BLACK,1001930,190300,40.68899,-73.936246,POINT (-73.936246 40.68899),69,2,49,52,18181
262932084,02/02/2023,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,K,78,0,25-44,M,BLACK,990420,188642,40.684454,-73.97775,POINT (-73.97775 40.684454),68,2,27,50,17619
262898605,02/02/2023,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,K,61,0,25-44,M,BLACK,995118,155708,40.594054,-73.960866,POINT (-73.960866 40.594054),32,2,15,36,18183
262915023,02/02/2023,969,"TRAFFIC,UNCLASSIFIED INFRACTIO",881,OTHER TRAFFIC INFRACTION,VTL051101A,M,K,81,0,25-44,M,WHITE,1003288,192280,40.694420438640556,-73.93134610532285,POINT (-73.93134610532285 40.694420438640556),69,2,49,52,18181
262937442,02/02/2023,847,"NY STATE LAWS,UNCLASSIFIED FEL",125,NYS LAWS-UNCLASSIFIED FELONY,VTL05110FE,F,Q,101,0,25-44,M,BLACK,1043336,156059,40.59482513,-73.7872446,POINT (-73.7872446 40.59482513),51,3,47,59,20530
262938150,02/02/2023,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",351,CRIMINAL MISCHIEF & RELATED OF,PL 1456002,M,M,1,0,25-44,M,WHITE,982682,203937,40.72643647420573,-74.00565716006021,POINT (-74.00565716006021 40.72643647420573),57,4,10,1,12076
262889788,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,42,0,18-24,M,BLACK,1011897,242507,40.832259,-73.900091,POINT (-73.900091 40.832259),34,5,42,25,10934
262929245,02/02/2023,849,"NY STATE LAWS,UNCLASSIFIED VIO",677,OTHER STATE LAWS,LOC00000V0,V,K,71,0,25-44,M,WHITE,997935,182677,40.66807228647775,-73.95066932639968,POINT (-73.95066932639968 40.66807228647775),17,2,48,44,13509
262855265,02/02/2023,782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,73,1,18-24,M,BLACK,1010774,185570,40.67598376327182,-73.90437689480486,POINT (-73.90437689480486 40.67598376327182),55,2,37,46,13516
262904514,02/02/2023,503,"CONTROLLED SUBSTANCE,INTENT TO",117,DANGEROUS DRUGS,PL 2201601,F,K,84,1,25-44,M,BLACK,987772,191476,40.69223342,-73.98729955,POINT (-73.98729955 40.69223342),68,2,38,54,16865
262929302,02/02/2023,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,Q,112,0,25-44,M,WHITE,1024697,207665,40.73657657,-73.85404969,POINT (-73.85404969 40.73657657),40,3,28,70,14786
262925872,02/02/2023,173,FORCIBLE TOUCHING,233,SEX CRIMES,PL 1305200,M,B,44,1,25-44,M,BLACK,1006490,244533,40.8378421209284,-73.9196277517392,POINT (-73.9196277517392 40.8378421209284),50,5,42,27,10930
262906306,02/02/2023,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,71,0,25-44,M,BLACK,999005,181250,40.664154,-73.946814,POINT (-73.946814 40.664154),17,2,48,44,13509
262855261,02/02/2023,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511001,M,B,40,0,25-44,M,BLACK,1010275,237147,40.817553,-73.905974,POINT (-73.905974 40.817553),49,5,43,23,10933
262917071,02/02/2023,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 1305201,M,K,72,0,25-44,M,WHITE,984128,179058,40.6581577535544,-74.0004411548878,POINT (-74.0004411548878 40.6581577535544),9,2,7,45,13515
262971875,02/02/2023,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,K,73,0,25-44,M,BLACK,1007919,179199,40.65850488,-73.91469197,POINT (-73.91469197 40.65850488),55,2,25,46,17614
262938167,02/02/2023,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,S,120,0,45-64,M,BLACK,950129,169927,40.633021,-74.12293,POINT (-74.12293 40.633021),4,1,13,74,10697
262917080,02/02/2023,503,"CONTROLLED SUBSTANCE,INTENT TO",117,DANGEROUS DRUGS,PL 2201601,F,M,13,0,45-64,M,BLACK,988985,209617,40.74202554,-73.98291267,POINT (-73.98291267 40.74202554),11,4,50,7,12078
262915032,02/02/2023,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,M,18,1,25-44,M,WHITE,989135,218857,40.76738691,-73.98236465,POINT (-73.98236465 40.76738691),11,4,10,10,12081
262883179,02/02/2023,969,"TRAFFIC,UNCLASSIFIED INFRACTIO",881,OTHER TRAFFIC INFRACTION,VTL051101A,M,M,34,0,25-44,M,BLACK,1006670,254235,40.86446248,-73.91894337,POINT (-73.91894337 40.86446248),47,4,39,22,13092
262906328,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,106,0,25-44,M,BLACK,1028604,187929,40.682389,-73.840079,POINT (-73.840079 40.682389),62,3,41,64,24013
262919151,02/02/2023,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,PL 1553001,F,M,13,0,25-44,M,WHITE,988971,207813,40.737074,-73.982962,POINT (-73.982962 40.737074),71,4,50,7,12073
262906312,02/02/2023,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,PL 1554001,F,M,5,3,18-24,M,BLACK,983907,199958,40.715518,-74.001236,POINT (-74.001236 40.715518),56,4,32,2,12076
262922752,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,28,0,65+,M,BLACK,997439,233857,40.80855,-73.952355,POINT (-73.952355 40.80855),18,4,36,18,12424
262902111,02/02/2023,649,FALSE REPORT UNCLASSIFIED,361,OFF. AGNST PUB ORD SENSBLTY &,PL 2405001,M,Q,113,0,45-64,M,BLACK,1046399,187126,40.680077,-73.775929,POINT (-73.775929 40.680077),41,3,46,71,24669
262922735,02/02/2023,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,B,40,0,45-64,M,BLACK,1008278,237309,40.81800134,-73.9131905,POINT (-73.9131905 40.81800134),49,5,43,23,10933
262906285,02/02/2023,739,"FRAUD,UNCLASSIFIED-FELONY",112,THEFT-FRAUD,PL 1761500,F,B,47,0,25-44,M,BLACK,1026486,262591,40.887325,-73.847247,POINT (-73.847247 40.887325),29,5,2,30,11275
262904510,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,49,0,25-44,M,BLACK,1020007,252679,40.86015,-73.870732,POINT (-73.870732 40.86015),28,5,22,32,11605
262922718,02/02/2023,479,"THEFT,RELATED OFFENSES,UNCLASS",343,OTHER OFFENSES RELATED TO THEF,PL 1650001,M,B,44,0,25-44,M,BLACK,1006982,244286,40.83715464,-73.91784911,POINT (-73.91784911 40.83715464),50,5,42,27,10930
262917096,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,M,25,0,25-44,M,BLACK,1001806,230242,40.798621,-73.936591,POINT (-73.936591 40.798621),7,4,35,16,13093
262856739,02/02/2023,209,"BURGLARS TOOLS,UNCLASSIFIED",231,BURGLAR'S TOOLS,PL 1403500,M,Q,109,0,25-44,M,WHITE,1031546,213513,40.75259386,-73.82929446,POINT (-73.82929446 40.75259386),22,3,3,67,14190
262904548,02/02/2023,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601001,F,Q,108,0,<18,M,BLACK,996643,209958,40.742954,-73.955274,POINT (-73.955274 40.742954),53,3,33,66,16858
262939168,02/02/2023,164,SODOMY 3,116,SEX CRIMES,PL 1304003,F,K,77,0,18-24,M,BLACK,1003509,185018,40.6744956865259,-73.9305713255961,POINT (-73.9305713255961 40.6744956865259),16,2,49,49,17615
262906296,02/02/2023,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402000,F,K,62,0,<18,M,WHITE,983289,158770,40.602464,-74.00346,POINT (-74.00346 40.602464),1,2,44,37,17616
262917084,02/02/2023,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,14,0,25-44,M,BLACK,987654,212901,40.75104,-73.987712,POINT (-73.987712 40.75104),11,4,10,8,12080
262902112,02/02/2023,969,"TRAFFIC,UNCLASSIFIED INFRACTIO",881,OTHER TRAFFIC INFRACTION,VTL051101A,M,Q,103,0,25-44,M,BLACK,1038453,196999,40.707227447170844,-73.80449812485688,POINT (-73.80449812485688 40.707227447170844),41,3,24,61,24340
262904523,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,75,0,25-44,M,BLACK,1020691,181977,40.666087,-73.868644,POINT (-73.868644 40.666087),45,2,25,47,17215
262882339,02/02/2023,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,K,77,0,25-44,M,BLACK,1004964,183810,40.67116846,-73.92532823,POINT (-73.92532823 40.67116846),16,2,17,49,17615
262919156,02/02/2023,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,M,28,0,45-64,M,BLACK,998291,233536,40.80766703,-73.94927989,POINT (-73.94927989 40.80766703),18,4,36,18,12424
262937904,02/02/2023,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,K,62,0,45-64,M,WHITE,985933,158098,40.60062,-73.993937,POINT (-73.993937 40.60062),1,2,45,37,17616
262898601,02/02/2023,639,AGGRAVATED HARASSMENT 2,361,OFF. AGNST PUB ORD SENSBLTY &,PL 2403002,M,K,77,0,18-24,M,WHITE,1003508,185056,40.674593,-73.930572,POINT (-73.930572 40.674593),16,2,49,49,17615
262932111,02/02/2023,273,"TAMPERING 1,CRIMINAL",121,CRIMINAL MISCHIEF & RELATED OF,PL 1452000,F,Q,102,1,25-44,M,BLACK,1032501,198800,40.712206,-73.825952,POINT (-73.825952 40.712206),46,3,28,60,24011
262929301,02/02/2023,209,"BURGLARS TOOLS,UNCLASSIFIED",231,BURGLAR'S TOOLS,PL 1403500,M,Q,112,0,25-44,M,WHITE,1024697,207665,40.73657657,-73.85404969,POINT (-73.85404969 40.73657657),40,3,28,70,14786
262929281,02/02/2023,707,"IMPERSONATION 2, PUBLIC SERVAN",340,FRAUDS,PL 1902300,M,M,13,0,25-44,M,BLACK,989627,207450,40.736077,-73.980595,POINT (-73.980595 40.736077),71,4,50,7,12073
262915010,02/02/2023,462,UNAUTHORIZED USE VEHICLE 3,353,UNAUTHORIZED USE OF A VEHICLE,PL 1650501,M,B,52,0,25-44,M,BLACK,1017273,255924,40.869067,-73.8806,POINT (-73.8806 40.869067),24,5,40,34,10936
262887957,02/02/2023,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,M,6,1,45-64,M,BLACK,983985,205857,40.73170654,-74.00095616,POINT (-74.00095616 40.73170654),57,4,10,3,12075
262883728,02/02/2023,782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,K,73,0,45-64,M,BLACK,1010719,186857,40.67951644,-73.90457012,POINT (-73.90457012 40.67951644),42,2,37,53,13516
262937900,02/02/2023,244,"BURGLARY,UNCLASSIFIED,UNKNOWN",107,BURGLARY,PL 1402000,F,K,88,0,25-44,M,BLACK,995301,190523,40.689614,-73.960148,POINT (-73.960148 40.689614),68,2,48,51,17212
262898593,02/02/2023,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,B,43,0,45-64,M,BLACK,1023635,240187,40.825847,-73.85769,POINT (-73.85769 40.825847),58,5,31,26,11611
262917092,02/02/2023,760,"BRIBERY,PUBLIC ADMINISTRATION",126,MISCELLANEOUS PENAL LAW,PL 2154002,F,M,14,0,45-64,M,BLACK,986300,214682,40.755929,-73.992598,POINT (-73.992598 40.755929),12,4,10,8,12080
262904547,02/02/2023,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1601001,F,Q,108,0,<18,M,BLACK,996643,209958,40.742954,-73.955274,POINT (-73.955274 40.742954),53,3,33,66,16858
262917078,02/02/2023,512,"CONTROLLED SUBSTANCE,SALE 1",117,DANGEROUS DRUGS,PL 2204301,F,K,83,0,25-44,M,BLACK,1006057,190747,40.690209,-73.921364,POINT (-73.921364 40.690209),42,2,30,53,18181
262915016,02/02/2023,503,"CONTROLLED SUBSTANCE,INTENT TO",117,DANGEROUS DRUGS,PL 2201601,F,B,40,0,25-44,M,BLACK,1006778,233879,40.808593,-73.918618,POINT (-73.918618 40.808593),49,5,35,23,10932
262915035,02/02/2023,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,Q,103,0,45-64,M,BLACK,1036857,195333,40.702666,-73.810266,POINT (-73.810266 40.702666),41,3,24,61,24670
262911957,02/02/2023,223,"BURGLARY,RESIDENCE,NIGHT",107,BURGLARY,PL 1402502,F,B,40,0,45-64,M,BLACK,1005040,234533,40.810391,-73.924895,POINT (-73.924895 40.810391),49,5,35,23,10932
262932114,02/02/2023,779,"PUBLIC ADMINISTRATION,UNCLASSI",126,MISCELLANEOUS PENAL LAW,PL 215510B,F,Q,104,0,25-44,M,WHITE,1013576,194624,40.70082605680311,-73.89423585206559,POINT (-73.89423585206559 40.70082605680311),54,3,30,62,15310
262906311,02/02/2023,109,"ASSAULT 2,1,UNCLASSIFIED",106,FELONY ASSAULT,PL 1201001,F,M,10,0,25-44,M,BLACK,984685,209908,40.742827,-73.998428,POINT (-73.998428 40.742827),12,4,10,6,12074
262925911,02/02/2023,170,"SEXUAL MISCONDUCT,INTERCOURSE",233,SEX CRIMES,PL 1302001,M,Q,103,0,18-24,M,BLACK,1041717,197008,40.7072398161698,-73.7927267255908,POINT (-73.7927267255908 40.7072398161698),41,3,6,61,24340
262955792,02/02/2023,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,K,67,0,25-44,M,BLACK,1007836,178970,40.657877,-73.914989,POINT (-73.914989 40.657877),61,2,25,40,17614
262937405,02/02/2023,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1702000,M,B,47,0,25-44,M,BLACK,1026264,259980,40.88015921,-73.84806787,POINT (-73.84806787 40.88015921),29,5,2,30,11607
262925867,02/02/2023,782,"WEAPONS, POSSESSION, ETC",236,DANGEROUS WEAPONS,PL 2650101,M,B,50,0,45-64,M,BLACK,1012089,260788,40.882434,-73.899323,POINT (-73.899323 40.882434),48,5,40,33,11272
262922751,02/02/2023,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,K,79,0,25-44,M,BLACK,999507,190206,40.688736,-73.944984,POINT (-73.944984 40.688736),69,2,49,51,17618
262892243,02/02/2023,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,PL 1553004,F,S,123,0,18-24,M,BLACK,923506,130345,40.524235,-74.218492,POINT (-74.218492 40.524235),15,1,9,77,10696
262940625,02/02/2023,905,"INTOXICATED DRIVING,ALCOHOL",347,INTOXICATED & IMPAIRED DRIVING,VTL11920U2,M,Q,103,0,25-44,M,BLACK,1036646,194171,40.699477,-73.811037,POINT (-73.811037 40.699477),41,3,24,61,24670
262922737,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,84,0,25-44,M,BLACK,987295,190704,40.690115,-73.989019,POINT (-73.989019 40.690115),68,2,38,54,16865
262962511,02/02/2023,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,B,47,0,25-44,M,BLACK,1025620,258785,40.876884,-73.850402,POINT (-73.850402 40.876884),29,5,2,30,11607
262939160,02/02/2023,510,"CONTROLLED SUBSTANCE, INTENT T",117,DANGEROUS DRUGS,PL 2200601,F,B,41,0,25-44,M,BLACK,1014852,237687,40.819019,-73.889436,POINT (-73.889436 40.819019),8,5,43,24,12343
262906315,02/02/2023,180,COURSE OF SEXUAL CONDUCT AGAIN,116,SEX CRIMES,PL 130801B,F,M,5,0,45-64,M,BLACK,984990,200136,40.7160120119955,-73.9973320301008,POINT (-73.9973320301008 40.7160120119955),70,4,32,2,12076
262856725,02/02/2023,508,"DRUG PARAPHERNALIA,   POSSESSE",235,DANGEROUS DRUGS,PL 2205002,M,K,67,0,25-44,M,BLACK,998589,177083,40.652719,-73.948321,POINT (-73.948321 40.652719),61,2,11,40,13510
262856723,02/02/2023,508,"DRUG PARAPHERNALIA,   POSSESSE",235,DANGEROUS DRUGS,PL 2205002,M,K,67,0,25-44,M,BLACK,998589,177083,40.652719,-73.948321,POINT (-73.948321 40.652719),61,2,11,40,13510
262882325,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,B,43,0,25-44,M,BLACK,1017346,241610,40.829779,-73.880406,POINT (-73.880406 40.829779),58,5,43,26,11610
262919136,02/02/2023,113,"MENACING,UNCLASSIFIED",344,ASSAULT 3 & RELATED OFFENSES,PL 1201401,M,B,42,0,25-44,M,BLACK,1009389,239232,40.823278,-73.909167,POINT (-73.909167 40.823278),34,5,43,25,10929
262937912,02/02/2023,258,"CRIMINAL MISCHIEF 4TH, GRAFFIT",351,CRIMINAL MISCHIEF & RELATED OF,PL 1456002,M,M,1,0,25-44,M,WHITE,982682,203937,40.72643647,-74.00565716,POINT (-74.00565716 40.72643647),57,4,10,1,12076
262906290,02/02/2023,198,CRIMINAL CONTEMPT 1,126,MISCELLANEOUS PENAL LAW,PL 21551B4,F,K,75,2,18-24,M,BLACK,1015828,179159,40.658372,-73.886184,POINT (-73.886184 40.658372),45,2,25,47,17214
262917094,02/02/2023,705,"FORGERY,ETC.-MISD.",358,OFFENSES INVOLVING FRAUD,PL 1702000,M,M,17,0,18-24,M,BLACK,992155,213560,40.752848,-73.971465,POINT (-73.971465 40.752848),71,4,51,9,12079
262855277,02/02/2023,792,CRIMINAL POSSESSION WEAPON,118,DANGEROUS WEAPONS,PL 265031B,F,M,25,0,<18,M,BLACK,1000233,230965,40.80060704,-73.94227095,POINT (-73.94227095 40.80060704),7,4,35,16,13093
262917091,02/02/2023,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL0511002,M,M,25,0,25-44,M,BLACK,1002329,231920,40.803226,-73.934696,POINT (-73.934696 40.803226),7,4,35,16,13093
262856726,02/02/2023,269,"MISCHIEF,CRIMINAL,    UNCL 2ND",121,CRIMINAL MISCHIEF & RELATED OF,PL 145004B,M,K,83,0,25-44,M,BLACK,1007029,189619,40.687109,-73.917864,POINT (-73.917864 40.687109),42,2,37,53,18181
262892242,02/02/2023,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",109,GRAND LARCENY,PL 1553004,F,S,123,0,18-24,M,BLACK,917002,126162,40.512706,-74.241844,POINT (-74.241844 40.512706),15,1,9,77,10694
262902106,02/02/2023,397,"ROBBERY,OPEN AREA UNCLASSIFIED",105,ROBBERY,PL 1600500,F,Q,113,0,25-44,M,BLACK,1046399,187126,40.680077,-73.775929,POINT (-73.775929 40.680077),41,3,46,71,24669
262915033,02/02/2023,462,UNAUTHORIZED USE VEHICLE 3,353,UNAUTHORIZED USE OF A VEHICLE,PL 1650501,M,M,30,0,25-44,M,BLACK,1000365,240994,40.828135,-73.941769,POINT (-73.941769 40.828135),37,4,36,19,12428
262892236,02/02/2023,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,Q,103,0,25-44,M,BLACK,1041172,197409,40.708337,-73.794687,POINT (-73.794687 40.708337),41,3,6,61,24340
262939165,02/02/2023,793,WEAPONS POSSESSION 3,118,DANGEROUS WEAPONS,PL 2650201,F,K,90,0,25-44,M,BLACK,1000397,197569,40.70894324826719,-73.94175880218262,POINT (-73.94175880218262 40.70894324826719),36,2,30,56,17213
262898598,02/02/2023,500,"CONTROLLED SUBSTANCE,POSSESS.",117,DANGEROUS DRUGS,PL 2202101,F,K,94,0,25-44,M,BLACK,1000776,200903,40.718095,-73.940382,POINT (-73.940382 40.718095),36,2,30,57,17613
262932080,02/02/2023,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,K,88,2,25-44,M,BLACK,991963,188787,40.684852,-73.972186,POINT (-73.972186 40.684852),68,2,48,55,13829
262902092,02/02/2023,462,UNAUTHORIZED USE VEHICLE 3,353,UNAUTHORIZED USE OF A VEHICLE,PL 1650501,M,K,70,0,25-44,M,BLACK,997408,163793,40.61624056,-73.95260584,POINT (-73.95260584 40.61624056),60,2,15,43,17217
262929248,02/02/2023,922,"TRAFFIC,UNCLASSIFIED MISDEMEAN",348,VEHICLE AND TRAFFIC LAWS,VTL05110MU,M,K,71,0,18-24,M,BLACK,997897,180593,40.66235222,-73.95081052,POINT (-73.95081052 40.66235222),17,2,11,44,13509
262915015,02/02/2023,175,"SEXUAL ABUSE 3,2",233,SEX CRIMES,PL 1305201,M,B,41,72,25-44,M,BLACK,1013037,236657,40.8162058439227,-73.8960011932583,POINT (-73.8960011932583 40.8162058439227),8,5,43,24,10937
262938138,02/02/2023,503,"CONTROLLED SUBSTANCE,INTENT TO",117,DANGEROUS DRUGS,PL 2201601,F,K,60,0,25-44,M,WHITE,985239,148887,40.57533631,-73.99643987,POINT (-73.99643987 40.57533631),21,2,45,35,18184
262922758,02/02/2023,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,M,33,0,45-64,M,BLACK,1001888,245600,40.840775,-73.936253,POINT (-73.936253 40.840775),47,4,39,21,13090
262882346,02/02/2023,511,"CONTROLLED SUBSTANCE, POSSESSI",235,DANGEROUS DRUGS,PL 2200300,M,Q,113,0,45-64,M,BLACK,1041604,191307,40.69158441,-73.79318146,POINT (-73.79318146 40.69158441),41,3,46,61,24668
262909188,02/02/2023,203,"TRESPASS 3, CRIMINAL",352,CRIMINAL TRESPASS,PL 140100E,M,K,76,2,25-44,M,BLACK,981842,185678,40.676322,-74.00868,POINT (-74.00868 40.676322),14,2,7,48,13514
262906289,02/02/2023,339,"LARCENY,PETIT FROM OPEN AREAS,",341,PETIT LARCENY,PL 1552500,M,K,61,0,25-44,M,WHITE,996077,161202,40.60913068,-73.95740454,POINT (-73.95740454 40.60913068),32,2,15,36,13512
